year,salinity,temperature,grain.size,lat,long,Alitta succinea,Arenicola defodiens,Arenicola marina,Austrominius modestus,Bathyporeia,Bathyporeia pelagica,Bathyporeia pilosa,Bathyporeia sarsi,Bylgides sarsi,Capitella,Capitella capitata,Capitella minima,Carcinus maenas,Cerastoderma edule,Clitellio (Clitellio) arenarius,Corophium arenarium,Corophium volutator,Crangon crangon,Ensis leei,Eteone longa,Eteone spetsbergensis,Gammarus,Gammarus oceanicus,Gammarus salinus,Glycera alba,Harmothoe glabra,Harmothoe imbricata,Haustorius arenarius,Hediste,Hediste diversicolor,Heteromastus filiformis,Hypereteone foliosa,Jaera (Jaera) albifrons,Kurtiella bidentata,Lanice conchilega,Lepidonotus squamatus,Limecola balthica,Lineus ruber,Macomangulus tenuis,Magelona mirabilis,Malacoceros fuliginosa,Malmgrenia arenicolae,Malmgrenia lunulata,Marenzelleria,Marenzelleria viridis,Marenzelleria wireni,Mya arenaria,Mysidae,Mytilus edulis,Nemertea,Nephtys,Nephtys cirrosa,Nephtys hombergii,Nereididae,Oligochaeta,Paranais litoralis,Peringia ulvae,Phyllodoce maculata,Phyllodoce mucosa,Polychaeta,Polydora,Polydora ciliata,Polydora cornuta,Polynoidae,Praunus flexuosus,Pygospio elegans,Retusa,Retusa obtusa,Scolelepis (Scolelepis) foliosa,Scolelepis (Scolelepis) squamata,Scoloplos armiger,Scrobicularia plana,Spio,Spio filicornis,Spio goniocephala,Spio martinensis,Spionidae,Tellimya ferruginosa,Tharyx killariensis,Tubificoides benedii,Tubificoides heterochaetus,Tubificoides pseudogaster,Urothoe poseidonis
2007,30.46,11.6,85,53.70101111,7.23650111,22,0,20.5,0,0,0,0,6,0,0,30.5,0,6,989,0,115.5,0,17,0,16.5,0,0,0,0,0,0,0,0,0,659,6,0,0,6,33,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,47,0,28,0,0,0,152,0,0,372,0,0,0,0,223,0,0,0,0,0,0,0,2978.5,28,0,6,749.5
2008,28.29,10.9,80,53.70101111,7.23650111,11,0,21,0,0,0,0,0,0,0,41.5,0,0,391.5,0,231.5,0,6,0,71.5,0,0,0,0,0,0,0,0,0,733,11.5,0,0,6,11,0,65,0,0,0,0,0,0,0,0,110,0,0,0,6,0,0,11.5,0,0,0,8.5,0,61,0,0,0,353,0,0,413.5,0,0,0,0,725,22,0,0,0,0,0,0,2408.5,17,0,0,331
2009,31.23,15.65,85,53.70101111,7.23650111,11,0,45,0,0,0,17,0,17,0,74.5,0,0,129.75,0,226,61,0,0,47,6,0,0,0,0,0,0,0,0,140.5,47,0,0,0,0,0,76.33333333,0,0,0,0,0,0,0,0,25,0,0,0,6,0,0,6,0,0,0,3414,0,94,0,0,0,0,0,0,154.5,0,0,0,0,1058,44,0,0,0,0,0,0,176.5,33,0,6,242.5
2010,31.42,12.15,85,53.70101111,7.23650111,19.5,0,69,0,0,0,0,0,17,0,143.5,0,0,108.6666667,0,69,0,6,0,19.5,0,0,0,0,0,0,0,0,0,110.5,50,0,0,6,6,0,77.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.5,0,19.5,0,0,6,0,0,0,107.5,0,0,0,0,2761,0,0,0,0,0,0,0,138,36,0,27.5,650.5
2011,27,12.1,90,53.70101111,7.23650111,6,6,39.5,0,0,0,0,6,6,0,217.5,0,6,567.75,0,204,0,0,0,36,0,0,0,0,0,0,0,0,0,102.5,226,0,0,0,0,0,45.4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8153.5,0,8.5,0,0,0,0,0,0,102,0,0,0,0,1600.5,0,0,0,0,0,0,0,66.5,58,0,6,391.5
2012,28.175,10.75,70,53.70101111,7.23650111,0,0,30,0,0,0,6,11,6,0,215,0,0,281.4,0,449,0,6,0,28,0,0,0,0,0,0,0,0,0,115.5,11,0,0,0,11,0,128,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,455,0,253,0,0,0,0,0,0,77.5,0,0,0,0,1769,6,0,0,0,0,0,0,28,94,0,0,284
2013,28.85,2.9,80,53.70101111,7.23650111,0,0,24.66666667,0,0,0,0,0,6,0,237,0,6,356.75,0,920.5,6,0,0,28,0,0,0,0,0,0,0,0,0,328,325,0,0,0,6,0,323.6666667,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2028,0,22.5,0,0,0,0,0,0,14,0,0,0,0,2000.5,0,0,0,0,0,0,0,8.5,135,0,6,377.5
2014,30,17.7,80,53.70101111,7.23650111,0,0,58.5,0,0,0,0,22,0,0,118.5,0,0,387.6666667,0,438,0,6,0,16.5,0,0,0,0,0,0,0,0,0,405,6,0,0,0,0,0,64.33333333,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.5,0,33,0,0,0,6,0,0,44.5,0,0,0,0,746.5,8.5,0,0,0,0,0,0,14,157,0,0,286.5
2015,30.285,10.35,80,53.70101111,7.23650111,0,0,27.5,0,0,0,0,0,11,0,11.5,0,6,260.5,0,55,0,22,0,11.5,0,0,0,0,0,0,0,0,0,374.5,8.5,0,0,0,0,0,66.2,0,0,0,0,0,0,0,6,0,0,0,0,6,0,6,11,0,0,0,11432,0,83,0,0,0,0,0,0,27.5,0,0,0,0,747,11,0,0,0,0,0,0,17,333.5,0,6,204
2016,30.45,9.75,80,53.70101111,7.23650111,11,0,34,0,0,0,0,6,6,0,6,0,0,371.3333333,0,173.5,0,11,0,22,0,0,0,0,0,0,0,0,0,135,14,0,0,0,0,0,97.5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,6,0,0,0,1474,0,6,0,0,0,0,0,0,19.5,0,6,0,0,983.5,99.5,0,0,0,0,0,0,50,295,0,0,132
2017,28.95,13.45,80,53.70101111,7.23650111,14,0,47,39,0,0,0,0,0,0,66.5,0,0,369.3333333,0,22,0,45,0,27.5,0,0,0,6,0,0,0,0,0,102,0,0,0,0,33,0,56,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,6,0,0,0,107.5,0,66,0,0,0,0,0,0,1391.5,0,0,0,0,1331,39,0,0,0,0,0,0,154,353,0,11,242.5
2018,32.04,13.1,80,53.70101111,7.23650111,0,0,34,0,0,0,0,0,6,0,58,66.5,11,1548.75,0,113,0,6,6,69,0,0,0,0,0,0,0,0,0,477,308.5,0,0,0,17,0,139,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,573.5,0,0,0,0,0,0,0,0,369.5,0,0,0,0,893,14,0,0,0,0,0,0,94,659,22,6,148.5
