year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Actinoptychus splendens,Akashiwo sanguinea,Alexandrium tamarense,Alveolata,Amphidinium sphenoides,Amphora [1],Apedinella spinifera,Aphanizomenon,Archaeperidinium,Asterionella formosa,Asterionellopsis glacialis,Asteroplanus kariana,Aulacodiscus argus,Aulacoseira granulata,Bacillaria paxillifer,Bacteriastrum hyalinum,Bellerochea malleus,Biddulphia alternans,Biota,Campylosira cymbelliformis,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros affinis,Chaetoceros brevis,Chaetoceros contortus,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lauderi,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros similis,Chaetoceros subtilis,Chaetoceros tenuissimus,Chaetoceros teres,Chlorophyta,Chromista [1],Chroococcales,Coccolithophyceae,Cocconeis,Cochlodinium,Coelastrum [1],Corethron hystrix,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscopsis commutata,Coscinodiscus,Coscinodiscus centralis,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Coscinodiscus wailesii,Cryptomonadales,Cyanophyceae,Cymatosira belgica,Cymbomonas tetramitiformis [2],Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Detonula pumila,Diatoma tenuis,Dictyocha,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis acuminata,Dinophysis rotundata,Diploneis,Dissodinium pseudolunula,Ditylum brightwellii,Dolichomastix,Emiliania huxleyi,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Gonyaulax,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Gyrosigma,Gyrosigma balticum,Gyrosigma fasciola,Halosphaera,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa lanceolata,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Karenia mikimotoi,Katodinium glaucum,Khakista,Khakista [2],Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Licmophora,Lithodesmium undulatum,Mamiella gilva,Mantoniella squamata,Mediopyxis helysia,Melosira [1],Melosira nummuloides,Meringosphaera,Merismopedia,Mesoporos perforatus,Meuniera membranacea,Micracanthodinium,Micromonas pusilla,Minutocellus scriptus,Monoraphidium,Navicula distans,Neocalyptrella robusta,Nephroselmis,Nitzschia reversa,Nitzschia sigma,Odontella,Odontella aurita,Odontella granulata,Odontella longicruris,Odontella mobiliensis,Odontella obtusa,Odontella regia,Odontella rhombus,Odontella sinensis,Odontella subaequa,Odontella turgida,Oocystis,Oxytoxum,Oxytoxum mediterraneum,Paralia sulcata,Parlibellus delognei,Pediastrum,Peridiniales,Peridiniella danica,Peridinium quadridentatum,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Pleurosigma,Pleurosigma angulatum,Pleurosigmataceae,Podosira stelliger,Polykrikos,Preperidinium meunieri,Proboscia alata,Proboscia indica,Prorocentrum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoceratium reticulatum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium cerasus,Protoperidinium claudicans,Protoperidinium conicoides,Protoperidinium conicum,Protoperidinium curtipes,Protoperidinium denticulatum,Protoperidinium depressum,Protoperidinium excentricum,Protoperidinium latidorsale [1],Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium mite,Protoperidinium oblongum,Protoperidinium obtusum,Protoperidinium ovatum,Protoperidinium pallidum,Protoperidinium pellucidum,Protoperidinium pentagonum,Protoperidinium punctulatum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Prymnesiales,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia pseudodelicatissima,Pseudo-nitzschia subpacifica,Pseudochattonella,Pseudopedinella,Pseudopodosira westii,Pterosperma,Pterosperma parallelum,Pterospermataceae,Pyramimonas,Pyramimonas longicauda,Rhaphoneis amphiceros,Rhizosolenia,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scenedesmaceae [1],Skeletonema,Skeletonema potamos,Spatulodinium pseudonoctiluca,Stephanodiscaceae,Stephanopyxis turris,Striatella unipunctata,Subsilicea fragilarioides,Tetraedron [2],Tetraselmis,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachyneis aspera,Tripos,Tripos furca,Tripos fusus,Tripos horridus,Tripos lineatus,Tripos longipes,Tryblionella,Warnowiaceae
2007,15.80625,8.25875,31.38625,1.5903194,44.47142857,53.3797222,5.1686111,0,38.67,0,0,0,0,0,0,0,5236.42,0,227.19,0,12474.73,0,0,0,1538.46,2510.17,1326.985,1212.14,3621681.553,0,16568.456,26343.51,346988.954,4615.38,3846.15,0,0,0,0,14615.38,0,7692.3,0,0,0,0,0,0,10472.84,0,0,143930.7183,1081151.078,514821.25,0,0,0,0,0,0,296296.2643,0,0,0,0,0,45.835,0,0,814995.3056,0,0,0,0,6967.19,26262.8125,0,0,0,0,192587.8033,26343.51,0,178.41,0,0,0,495.8933333,0,0,0,85821.67286,0,2551908.45,24258.34,4504.2375,7238.303333,53,52871.93,3797.653333,82773.49333,98301.33875,0,0,3436.836667,0,0,1300.665714,0,0,0,0,0,0,83159.66857,0,0,0,0,0,9496.6,37509.54677,0,7986.412,2099.116667,0,116621.668,264708.8738,0,299.38,0,0,0,0,0,0,83782.79,1538.46,217.295,0,1060520.325,138863.055,5236.42,0,128.865,0,0,0,0,769.23,0,0,0,0,124.775,102.9866667,250.134,0,0,0,0,0,70481.28625,0,0,16755.57111,0,0,3825036.632,5236.42,0,0,0,511.262,0,236.705,5417.11,0,1173.18,769.23,0,1684.2,40885.7375,0,767.56,0,2324.206,0,0,0,0,0,0,53,0,0,0,312.685,0,769.23,0,58.29,0,0,0,89.2,769.23,0,159,58.29,2471423.754,881657.81,11914.808,0,0,0,25987.52,0,0,0,0,490663.196,3283.933333,1538.46,0,38649.98778,23973.22,981.28,0,0,9545.993333,0,0,0,1070.48,1219.86,0,0,0,0,3333.33,27321.18714,0,0,0,1153.845,174.88,0,89.2,299.938,0,178.41,0,0,5236.42
2008,12.86,NA,31.307,1.463340182,35.46753247,53.3797222,5.1686111,217.74,72.58,2920.44,0,0,0,0,0,0,5334.47,0,2311.765,0,0,0,0,0,0,8672.43,8410.253333,1282.05,4719599.755,0,9905.0725,0,1235852.86,0,0,27851.27,7692.3,4431.435,602.005,74682.59,0,6153.843333,33001.7,362.91,26672.35,0,0,0,0,0,0,348719.6975,770844.5925,458141.7,0,26343.51,0,39999.99,0,6153.84,387875.276,0,0,0,0,0,61.53,830.765,0,693298.258,0,0,0,8461.53,21536.876,231149.71,0,0,0,0,0,0,416.288,0,0,0,0,6339.468,0,0,28490.02,27115.645,5334.47,874469.665,3812.723333,54867.57,1191.895,769.23,23752.93375,2263.732857,830.765,113460.907,0,0,2324.42,0,0,2738.458333,0,61.53,0,0,0,0,34353.05833,0,3051.85,0,10668.94,0,1861.542,195180.3426,0,2000,8461.53,51114.455,130555.5633,2957058.862,0,16785.825,0,0,0,0,0,0,46443.23,0,246.15,0,852187,127367.184,5334.47,0,769.23,0,0,0,0,816.9933333,0,0,0,0,73.3,184.61,9040.1325,0,0,0,55478.5,0,31498.42286,0,5095.97,7266.001,0,85.07,1695215.894,12846.91667,0,0,400,2231.666667,358.92,415.38,0,0,0,0,0,1538.46,12002.5575,0,261.83,1153.845,3974.36,85.07,0,0,340.29,0,0,0,0,0,1538.46,415.38,0,0,0,0,0,0,0,0,769.23,769.23,0,0,459098.0222,239510.9163,20366.98125,0,769.23,0,27570.99,5334.47,0,0,0,91929.40143,1538.46,1204.01,14664.29,24187.15,2061.13,0,61.53,57124.364,83566.235,0,0,42735.035,246.15,0,0,5334.47,0,6030.27,9398.0025,154631.32,0,0,16122.845,579.2116667,67.055,0,0,3870.343333,769.23,953.84,0,0,79.62
2009,11.90526316,NA,31.43157895,1.371813895,34.66165413,53.3797222,5.1686111,0,525.615,532.92,0,3391.44,0,0,769.23,0,27097.225,0,2102.563333,0,79584.445,1739.13,0,0,0,13686.65,0,14934.72,3513055.797,0,14168.94,0,590420.8847,0,0,14430.02,0,2290.9,4702.792,54796.11857,0,1130.36,32851.27,2690.2625,3362.405,5334.47,0,1304.34,0,0,2608.69,53128.96933,554392.2504,6730769,0,0,769.23,0,1942.345,0,504011.4513,0,0,0,124.7,123.01,125.61,1101.695,305.17,624804.7911,0,13614.7,0,434.78,0,22840.95714,0,9045.4,2031.14,0,85993.004,0,131.53,382.665,125.61,0,89.42,3248.43,0,0,0,4955.633333,0,4779899.774,38752.96,7061.0525,4149.85,769.23,470225.9288,1172.055,3647.375,123410.7278,0,0,6030.27,434.78,0,2515.230833,0,0,0,800,0,70.6,40359.45889,0,502.47,2000,769.23,0,4423.70625,179623.0639,0,3189.052,627.8325,126553.7786,66220.33,41891.39,434.78,1048.2125,0,0,14927.61214,769.23,4000,10472.84,17190.63333,10000,984.15,0,3904129.075,87417.04333,5633.8,125.61,0,0,0,0,0,9468.11,0,0,0,0,893.525,187.33,493.558,0,0,0,4534.4075,0,28024.42,0,3724.152,8380.192222,125.61,0,1073247.634,5489.73,434.78,0,0,367.1658333,1325.015,928.67,447.9,0,0,0,81164.585,872.1457143,5551.8475,0,455.695,413.4666667,5187.142,1166.685,0,0,610.0375,0,834.195,0,0,126.57,125.61,125.61,125.61,224.315,131.53,0,133.89,742.1125,0,70.6,0,125.61,700.2366667,415.755,58970.38333,1109041.216,136671.9478,0,0,4721.095,17045.47,1384.615,0,0,0,107855.0555,7916.1925,2000,0,4622.102727,3056.444,224.48,769.23,28960.01625,432124.1008,0,415.79,0,0,0,0,0,0,738.11,56582.1175,432611.5975,12060.54,0,343.005,1084.63,124.31,0,0,563.6966667,0,1078.096667,0,0,452.484
2010,10.48333333,NA,31.50555556,1.426520444,35.99206349,53.3797222,5.1686111,0,74.32,3198.654286,0,0,82.79,0,769.23,0,0,0,709.616,0,53144.76222,0,0,0,4006.9875,2486.53,0,1153.845,1784602.575,0,0,0,353583.555,0,0,37341.29,0,2307.69,5384.61,14615.38,0,0,10000,2307.69,0,0,3498.64,0,50276.52,0,0,153933.4645,650597.3773,220568,0,0,769.23,6923.07,104.02,34643.87,140362.1727,0,0,0,436.61,0,0,114.9766667,119.955,722255.8006,0,4615.38,0,0,2307.69,91819.846,5775.17,3846.15,0,769.23,51233.61,0,429.675,769.23,108.905,0,75.41,4141.57,0,0,523.5,5384.61,0,1310456.663,28295.47833,5501.228,769.23,86.18,24402.03667,925.7014286,76.99,54956.08824,0,0,16861.92,1153.845,0,11564.959,0,0,73.36,0,434.78,151.27,57948.35333,0,0,1538.46,0,0,6049.538571,305535.127,0,668.6225,11218.85,157758.345,136502.355,910684.4057,0,618.145,0,0,2537.176667,0,3076.92,5417.11,18461.535,76.99,535.89,0,1674585.28,308385.3,0,0,0,0,0,769.23,0,5831.2,74.32,0,0,0,257.93,128.325,435.1575,0,277.77,115673.8,0,0,23341.10769,0,14615.38,4236.08125,0,0,1182113.499,11017.47333,0,0,769.23,1102.206667,1195.24,0,74.32,434.78,0,0,5334.47,390.0533333,2820.51,0,276.888,0,1585.3425,0,0,0,423.11,0,90.9,158.295,82.79,0,769.23,79.21,0,0,74.32,721.645,222.98,846.3183333,0,423.11,376.46,426.01,0,0,403773.2163,241111.0308,7211.986667,0,0,27570.99,26354.625,0,769.23,27570.99,0,33214.124,2831.343333,0,0,124536.8958,1677.811667,0,86.18,126295.6633,269068.4013,0,0,0,2843.58,0,0,0,0,0,14831.1225,1116472.916,0,810.535,3461.535,1509.135,0,0,0,5560.14,0,3699.605,0,0,1886.0275
2011,14.097,NA,31.3,1.7064482,35.12142857,53.3797222,5.1686111,0,444.44,11628.28667,0,0,0,0,0,0,0,0,2666.66,19999.99,264864.2486,14440.43,0,0,0,2222.22,0,1919.775,0,0,9704.02,0,233867.3657,0,0,0,0,0,0,30023.76,0,923.06,0,0,0,0,0,0,0,0,0,53466.995,738512.69,0,3234.67,0,0,0,0,0,83542.165,0,272.46,0,0,0,0,84.53,0,533408.3492,0,22642.73,0,0,849.03,123214.3933,0,0,0,0,0,16708.43,3234.67,568.79,105.0225,0,95.14,1377.22,0,0,0,2658.17,0,1743703.291,22634.94,5593.72,0,324.395,47629.85,871.612,0,64763.25875,0,0,3234.67,0,0,4754.708,0,81.25,0,0,0,8444.44,93307.004,0,0,0,0,0,3628.4925,638518.976,0,1379.76,0,30030.03,416726.765,13060.258,0,546.875,0,0,18258.49909,0,0,0,0,0,0,0,1197489,100654.04,0,0,108.74,0,0,175.57,0,88779.44667,0,0,1538.46,0,1295.78,410.25,386.4125,95.14,0,0,0,0,57123.272,0,0,16330.70375,0,0,3177899.944,61214.398,0,0,0,1357.831667,199.0266667,243.76,89.425,0,0,0,1333.33,315.8433333,4515.493333,0,236.02,428.505,2643.132,0,0,0,178.08,0,0,0,0,0,89.835,0,0,0,0,0,0,0,0,78.13,0,0,0,0,141687.565,713636.3973,3760.79,0,0,0,9971.55,0,30030.03,0,0,33416.87,3538.57,0,0,50736.59333,2925.516,0,0,163882.4867,0,0,0,0,0,0,1141.76,0,0,0,49999.99,3672940.664,0,0,1777.77,562.96,76.32,0,0,288.875,0,0,0,0,444.44
2012,13.73285714,NA,32.17142857,1.119813429,31.25,53.3797222,5.1686111,0,68.31,327.81,0,0,0,0,42.44,0,0,0,769.23,0,150890.572,19729.14,68.31,0,0,0,0,7739.796,56148.23,0,133.5,0,117095.745,0,0,0,0,0,0,49512.46667,16923.07,0,1538.46,3042.075,0,0,0,0,0,0,0,24626.134,950594.1147,1403706,0,0,769.23,0,0,0,41073.24333,0,0,0,0,0,0,501.205,0,608613.1415,0,0,0,0,0,40339.56857,0,0,0,0,0,28074.11,769.23,0,62.86,0,64.41,538.7266667,0,29157.534,5417.11,16153.84,769.23,1235127.429,28458.73,5417.11,418.77,77.72,1346.1525,6436.95,0,66589.436,0,0,0,68.31,0,3497.2175,0,0,0,44.5,0,2307.69,15365.63,0,1538.46,5417.11,0,68.31,8397.05,43939.58156,0,418.77,0,0,30178.76,13665.57667,0,78.655,0,0,21003.3875,0,0,0,30769.23,0,89,0,785326.688,28074.11,769.23,0,0,0,769.23,0,0,20207.39857,0,0,0,0,122.6516667,87.0675,335.6233333,0,0,0,0,0,7579.754444,0,756.51,782.892,769.23,452.93,1326749.674,3269.2275,0,0,244.9975,1750.1975,59.78,0,0,0,0,0,0,630.51,6045.448,0,416.98,423.475,769.23,0,68.31,0,1538.46,0,0,0,0,0,769.23,0,0,121.2166667,0,0,0,2307.69,0,769.23,0,534.3966667,0,0,44116.46286,20498.37,0,0,0,0,0,0,0,28074.11,0,28074.11,769.23,0,0,247176.9178,5769.23,59.78,769.23,11603.465,0,0,0,0,0,0,0,0,0,0,3846.15,2126207.584,0,0,0,769.23,0,0,0,1001.564,0,0,165.865,0,77.72
2013,NA,NA,31.29285714,1.652300843,41.32142857,53.3797222,5.1686111,0,0,20577.7325,88.34,0,0,0,0,0,5755.39,0,0,0,165686.1238,84805.89,0,0,0,7600,0,2133.333333,88888.88,0,14017.595,0,287186.566,71023.78,0,0,0,99612.61,0,51590.478,0,0,33099.28,0,0,0,0,0,0,29629.62,19002.1,149287.7444,916064.1077,2211111.025,0,0,0,0,0,0,671609.945,0,0,0,0,88.34,0,84.665,0,582539.9379,0,0,0,228170.6867,2000,145499.992,0,0,0,0,0,91766.595,5097.95,440.495,80.99,0,0,2404.596667,0,0,2000,2800,11068.06,3035897.571,11289.425,10182.618,0,0,56100.86667,3138.46,0,68725.87111,0,0,11510.79,0,0,3383.88,0,0,800,285.71,0,0,41092.8,0,0,0,0,0,8633.09,753650.9855,0,572.41,0,79012.32333,95923.24,573549.2675,0,353.37,0,0,23002.154,0,0,0,0,0,2400,5755.39,1716239.467,0,0,0,0,0,0,0,0,27302.94143,0,0,0,0,161.98,400,362.385,0,0,0,0,0,90377.8325,0,0,5963.834545,0,0,2790774.985,45370.64125,0,0,0,4620.755556,0,0,0,0,0,0,14539.255,4400,18814.81,92.02,1169.23,344.82,4883.083333,0,444.17,0,0,285.71,76.22,0,0,0,0,0,0,0,0,0,0,1538.46,800,108.8433333,0,0,0,0,111111.11,896000.79,2800,0,0,0,5755.39,1114.055,0,0,102564.075,12661.864,1600,11068.06,0,38968.00667,2566.736667,0,0,36893.55667,220322.8767,59259.25,0,0,441.71,0,0,0,0,0,10605.684,1100265.329,0,0,0,2053.054,0,0,0,346.0666667,0,964.0066667,0,0,0
2014,NA,NA,32.29230769,1.342677215,32.54395604,53.3797222,5.1686111,0,0,2665.93,0,0,0,285.71,0,3076.92,59259.25,191846.52,1197.8,0,0,8461.53,0,0,9861.535,8379.31,0,2200,512820.5,4615.38,11510.79,0,606830.8462,0,0,0,0,0,3956.04,14400,3200,0,0,0,0,0,33797.53,0,0,0,0,148199.92,1017839.183,13333333,0,17266.18,0,0,0,0,1333333,0,0,0,0,1538.46,344.82,327.245,0,751233.4033,0,0,1600,29347.998,3538.46,55529.64667,0,0,0,0,118518.49,113960.1,7950.26,0,0,0,0,39946.33286,62234.875,0,0,64166.49,5755.39,4073387.667,20720.02,14590.53,4340.655,0,58129.456,1782.05875,1428.57,83779.56417,0,0,1600,444.44,0,4259.406667,0,0,0,0,0,0,38546.56429,0,0,800,0,0,6219.065,340602.1765,0,587.295,3200,237037,3.00E+05,127246.6971,0,2000,0,250712.225,2639.255714,0,0,0,0,0,7874.104,0,3930057.05,407407.3875,0,0,0,113960.1,0,0,0,12307.69,0,2498.163333,0,0,705.2,487.68,594.9671429,344.82,0,24615.38,0,800,34688.85286,0,0,4771.425,0,0,3011860.606,38577.16,0,0,0,1699.781429,571.42,0,0,2800,285.71,0,15082.215,5011.095,38694.755,0,3076.92,11068.06,3646.925,285.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.71,0,0,0,0,0,800,202686.1971,1903365.129,60584.872,0,12800,2400,29629.62,0,3277.695,0,0,192592.575,5755.39,1600,0,20221.36625,25222.83857,0,0,168350.175,145248.13,0,1538.46,0,0,0,0,0,0,32000,19285.71,475420.3622,0,0,0,2348.29,476.8433333,0,53.51,3249.33,0,364.654,0,0,0
2015,NA,NA,32.55,1.100458629,31.2755102,53.3797222,5.1686111,0,0,900,0,0,0,0,0,0,5387.2,0,1600,0,37007.79143,0,0,0,0,0,0,1600,40404.035,0,11000,0,955690.207,0,0,0,0,0,800,0,0,6400,0,0,0,0,0,0,0,0,0,267973.6285,1936532.567,0,0,0,0,0,0,0,127553.3325,0,0,800,0,0,444.44,800,0,833433.26,26936.02,5755.39,56980.05,21948.82,0,72785.992,0,0,7182.936667,5387.2,0,80808.0725,0,0,0,0,622.22,2281.48,0,0,0,25600,0,7687778.857,0,7529.412,16161.61,0,45066.69143,3555.554,3200,58559.26692,29733.2225,29629.62,0,800,0,2069.84,0,0,0,0,0,0,24291.36,5387.2,0,0,13652.105,0,4192.321,278376.2706,0,800,0,45929.37333,354657.66,89795.784,0,1600,56980.05,56980.05,0,0,0,11068.06,0,800,4000,0,9048951.25,36950.69667,0,0,0,0,0,14285.71,3200,800,0,1600,0,0,600,0,0,0,0,0,800,0,22615.87222,0,37710.43,9608.478571,0,0,3719923.268,19087.7,0,933.3333333,0,3518.463333,0,0,0,0,0,800,26936.02,1000,27033.90667,0,444.44,800,4342.857143,0,0,800,800,0,0,0,0,0,0,800,0,0,0,800,800,800,0,0,0,0,0,0,171131.4385,169645.0342,4457.142857,0,0,10016.966,0,0,5387.2,0,0,53872.04429,6187.203333,800,0,63452.855,21548.82,0,0,134680.1333,262826.74,53872.05,0,0,0,0,0,0,11068.06,0,5000,1400206.283,0,0,0,800,0,844.44,0,1525.921667,0,0,0,0,0
2016,NA,NA,31.92857143,0.876956771,31.93877551,53.3797222,5.1686111,0,0,1666.666667,0,444.44,0,0,0,0,33112.58,0,5000,0,23121.455,0,0,66225.16,16000,444.44,0,177.77,0,40485.82,29598.02857,0,656369.4869,0,0,0,0,0,6747.63,0,0,3148.146667,20993.7,0,0,0,0,0,0,55187.63333,0,142214.6292,1898381.669,0,0,0,0,0,0,44657.21667,74782.03,0,0,0,177.77,0,800,1673.966,0,783990.7807,0,0,6747.63,1793758.368,6740.815,125705.1725,0,0,0,1000,0,110375.2867,0,88.88,544.44,0,1000,32542.37571,0,0,0,75978.75,0,6391965.786,269360.3,6890.488571,5873.815,0,21214.91125,1626.665,988.885,88064.78538,0,33112.58,6747.63,0,49668.87,1700,0,0,0,0,0,0,49764.04833,33112.58,0,13495.27,0,0,6160.725,301654.7088,0,1333.333333,1918.516667,132450.3,110375.2733,969011.7488,1000,688.885,66225.16,33112.58,0,0,0,0,0,1000,0,0,17470588.2,58086.3725,0,0,399.995,0,0,0,0,1000,0,21000,0,0,966.6633333,355.55,1005.5525,0,0,0,2000,6747.63,13200,0,0,10069.39455,121457.5,0,1723251.992,13476.186,1000,1706.665,0,0,177.77,422.2166667,0,0,0,0,6747.63,1125,6448.58,0,1000,0,14326.82,0,1000,0,861.11,0,0,88.88,0,0,0,0,0,0,0,2733.333333,0,0,0,0,0,0,1000,0,193009.7636,514364.5025,9428.571429,1258278,0,6747.63,0,0,33670.03,0,33112.58,41530.0875,6747.63,1000,0,247382.646,5248.58,0,0,43771.04,206970.372,0,0,0,0,0,0,0,0,0,4000,698072.155,0,0,0,1497.22125,0,0,0,4500,0,444.44,0,0,1000
2017,NA,NA,32.5,NA,26.60989011,53.3797222,5.1686111,0,0,3526.565,0,2800,0,0,0,0,16281.465,0,1066.666667,0,87201.85,16196.85,0,0,0,6400,0,1600,0,0,52181.74,0,301692.4378,86369.77,0,0,0,0,3200,0,0,1355.89,32388.66,0,0,0,0,0,0,662251.595,0,76821.186,1969668.671,0,0,0,0,0,0,38788.66,99337.75667,0,0,0,0,0,110.09,0,0,774175.425,0,0,0,13495.275,0,120529.8,3200,0,12820.51,0,26490.06,69849.245,0,0,224.19,6747.63,0,16727.66333,0,0,0,80976.7,0,6235294.154,52980.13,2199.622,0,0,16829.55333,5200,4400,41737.05667,5398.11,23011.676,5398.11,0,39735.095,1236.363636,111.37,0,0,0,0,0,66225.162,10796.22,0,5398.11,3099.055,0,3432.703333,277052.6748,0,866.6666667,1600,105960.2475,281261.89,21322.534,0,0,0,0,6084.548,0,0,0,0,12428.76,0,0,10682353,459485.75,0,0,800,0,0,0,0,9680,0,8360,0,0,183.304,340.2966667,510.886,0,0,0,800,0,21250,0,0,4721.996364,5398.11,0,2412676.775,18353.572,0,934.165,0,0,150.82,260.922,0,0,0,0,10796.22,2120,7269.132857,0,606.73,0,2200,0,0,1600,800,0,0,0,0,0,0,0,800,0,0,0,0,800,0,0,0,0,0,0,157734.6108,452156.8083,8933.333333,0,0,5398.11,0,900,5398.11,0,0,79470.19875,6747.6375,2399.37,0,54314.43333,75639.09333,0,0,52980.13,423841,0,0,0,111.37,0,0,0,0,2000,5900,172251.5169,0,0,0,1300,0,0,0,509.564,0,1032.772,0,0,6747.63
2018,NA,NA,32.46428571,NA,NA,53.3797222,5.1686111,0,322.9,1200,0,89.89,0,0,0,0,0,0,0,0,49750.14,45217.925,0,0,6000,0,0,0,0,0,1200,0,54022.95533,0,0,0,100840.3,0,800,190476.2,0,1253.2525,800,800,7200,0,0,0,0,0,0,229797.9973,419048.1475,1111111,0,14288.885,0,0,0,0,195244.4,87.82,0,0,0,0,0,800,0,732940.3917,0,0,0,5602.24,0,19607.84,0,0,0,0,0,27777.77,4001.12,0,0,800,0,5459.77,0,0,10345.5625,7947.54,800,4625000,0,6802.52,0,0,69664.19333,2843.02,1686.885,36580.94667,0,7469.653333,0,0,0,3932.46875,0,0,0,0,0,0,31746.03,0,14405.6,800,0,0,4801.493333,0,116340.9095,89.405,0,270833.3225,48552.75,97409.84714,0,0,0,0,3200,0,0,0,0,0,0,0,7500000,37037.03,0,0,0,0,0,800,0,97274.15778,0,162,0,84.565,942.8066667,0,269.69,0,0,0,800,0,22105.8875,800,0,1714.605714,800,0,1701404.767,72336.08333,0,0,0,976.2,840.44,0,0,0,0,0,1000,976.2,800,0,0,800,1400,481,0,0,800,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,91.08,800,0,0,88888.881,351229.9047,9600,0,0,0,27777.77,1600,0,0,0,27777.77,800,1600,0,75890.816,25610.08,0,0,125800,55847.335,0,0,0,0,0,0,0,0,0,2687.445,1771578.61,0,0,364.35,80.88,0,0,0,438.525,0,800,0,9337.066667,800
