year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Akashiwo sanguinea,Alexandrium minutum,Amphidinium [1],Amphidinium sphenoides,Amphora [1],Anabaena,Apedinella spinifera,Aphanizomenon,Archaeperidinium,Asterionella formosa,Asterionellopsis glacialis,Asteroplanus kariana,Aulacodiscus argus,Aulacoseira,Aulacoseira ambigua,Bacillaria paxillifer,Bacteriastrum hyalinum,Bellerochea malleus,Biddulphia alternans,Biota,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros affinis,Chaetoceros costatus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros lorenzianus,Chaetoceros pseudocurvisetus,Chaetoceros similis,Chaetoceros subtilis,Chaetoceros tenuissimus,Chaetoceros teres,Chlorophyta,Chromista [1],Chroococcales,Coccolithophyceae,Cocconeis,Cochlodinium,Coelastrum [1],Corymbellus aureus,Coscinodiscophyceae,Coscinodiscopsis commutata,Coscinodiscus centralis,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus perforatus var. pavillardii,Coscinodiscus radiatus,Coscinodiscus wailesii,Cryptomonadales,Cyanophyceae,Cyanophyta,Cyclotella [1],Cymatosira belgica,Dactyliosolen fragilissimus,Dactyliosolen phuketensis,Delphineis,Desmodesmus,Detonula pumila,Diatoma tenuis,Dictyocha,Dictyocha speculum,Dinobryon,Dinobryon faculiferum,Dinophyceae,Dinophysis acuminata,Dinophysis rotundata,Diploneis,Dissodinium pseudolunula,Ditylum brightwellii,Emiliania huxleyi,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilariaceae,Fragilidium subglobosum,Gonyaulax,Grammatophora marina,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodiniales [1],Gymnodinium galeatum,Gymnodinium verruculosum,Gyrodinium,Gyrodinium britannicum,Gyrodinium flagellare,Gyrodinium spirale,Gyrosigma,Gyrosigma balticum,Helicotheca tamesis,Heterocapsa,Heterocapsa lanceolata,Heterocapsa niei,Heterocapsa triquetra,Heterosigma akashiwo,Katodinium glaucum,Khakista,Khakista [2],Kirchneriella,Koliella,Kolkwitziellaceae,Kryptoperidinium foliaceum,Lagerheimia,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Lithodesmium undulatum,Mamiella gilva,Mantoniella squamata,Mediopyxis helysia,Melosira nummuloides,Meringosphaera,Merismopedia,Mesoporos perforatus,Meuniera membranacea,Micromonas pusilla,Minutocellus scriptus,Monoraphidium,Nematopsides vigilans,Nephroselmis,Nitzschia sigma,Odontella,Odontella aurita,Odontella granulata,Odontella longicruris,Odontella mobiliensis,Odontella regia,Odontella rhombus,Odontella sinensis,Ollicola vangoorii,Oocystis,Oxytoxum,Oxytoxum mediterraneum,Paralia sulcata,Parlibellus delognei,Pediastrum,Peridiniales,Peridiniella danica,Peridinium quadridentatum,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Plagiotropidaceae,Planctonema,Planktothrix agardhii,Pleurosigma,Pleurosigma angulatum,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Polykrikos,Preperidinium meunieri,Preperidinium pseudooblea,Proboscia indica,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Protoperidinium brevipes,Protoperidinium conicoides,Protoperidinium conicum,Protoperidinium depressum,Protoperidinium latidorsale [1],Protoperidinium leonis,Protoperidinium marielebouriae,Protoperidinium mite,Protoperidinium ovatum,Protoperidinium pellucidum,Protoperidinium punctulatum,Protoperidinium pyriforme,Protoperidinium steinii,Protoperidinium subinerme,Protoperidinium thorianum,Prymnesiales,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudo-nitzschia pseudodelicatissima,Pseudochattonella,Pseudopedinella,Pseudopodosira westii,Pterosperma,Pyramimonas,Pyramimonas longicauda,Rhabdonema,Rhaphoneis amphiceros,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Roperia tesselata,Scenedesmaceae [1],Skeletonema,Skeletonema potamos,Snowella,Stephanodiscaceae,Subsilicea fragilarioides,Surirella,Tetraedron [2],Tetraselmis,Tetrastrum,Tetrastrum staurogeniaeforme,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira eccentrica,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Toxonidea insignis [1],Trachydiscus,Trachyneis aspera,Treubaria,Tripos,Tripos furca,Tripos fusus,Tripos lineatus,Tryblionella,Ulnaria acus,Ulotrichaceae,Warnowiaceae
2007,13.86,8.268,23.916,2.8451556,77.64285714,53.0529,5.03227,0,0,0,0,0,0,0,985.31,0,0,0,0,4000,0,0,0,12000,0,0,1205.85,1194.02,7692.3,5129430.867,42618.67,0,187312.9833,0,0,0,0,0,0,0,140740.7,0,0,0,0,0,0,0,786363.015,2059579.122,1175628.433,0,0,0,0,0,538281.8533,0,0,0,94.64,0,0,0,987953.425,0,0,0,0,0,1538.46,105374.1,0,0,0,0,0,215053.8,26343.51,0,0,0,0,0,200.97,0,0,3378.38,0,5117161.2,35941.57,8354.635,10472.84,0,0,0,0,5432.173333,0,9230.76,36347.94,0,0,0,0,0,200.17,0,0,413.4,31201.44667,0,0,769.23,0,0,37174.39,0,26343.51,0,769.23,0,0,8461.53,0,18206.395,56338.02,2805.01,0,0,0,0,0,1882585.877,0,0,0,52687.03,0,0,0,0,0,3118.21,0,0,0,889.33,1534.465,4477.243333,0,0,0,0,15994.3,0,82901.4,5236.42,0,0,12374668.55,2000,0,0,59230.76,136000,0,0,0,200.97,0,160.13,0,0,769.23,769.23,1261.885,9393.095,0,0,1246.62,0,0,0,0,0,0,0,0,0,0,0,0,0,769.23,0,1070381.3,111213.99,29629.62,0,0,1000,0,0,79030.55,0,0,0,4084.516667,1500,0,0,103652.794,1700123.925,0,36836.395,0,0,0,0,0,0,0,0,0,145829.35,0,0,1538.46,0,0,0,0,0,0,0,40.03,0,0,0,0,769.23
2008,16.485,NA,26.42,1.5887065,42.875,53.0529,5.03227,0,186.91,0,0,0,0,0,0,0,0,0,2359.956667,0,291125.8975,0,0,0,0,0,1588.78,769.23,19230.76333,5622317.638,24700.915,0,121045.2183,0,23076.92,0,2307.69,249070.685,0,1538.46,1214.95,0,3076.92,0,0,0,0,0,751980.0075,453174.836,33637227,0,0,0,36023.24,0,546320.075,0,93.45,0,0,93.45,0,0,2769799.25,0,0,0,0,0,934.57,25138.26,0,0,10668.94,0,0,0,161030.6,434.78,0,0,0,0,4960.455,0,0,13738.31,0,1060834.6,28490.02,13403.065,2692.305,0,0,0,0,18344.2775,6030.27,1538.46,112914.9,0,0,769.23,0,0,1254.18,0,0,769.23,16414.3,0,2063.32,4174.8,0,1471.57,99271.855,0,0,0,478.07,769.23,11053.555,0,0,77005.885,2081181.303,17692.3,0,0,0,0,0,7476.63,0,280.37,332918,671470.94,0,0,0,0,0,9221.106667,1624.725,0,186.91,657.795,704.5266667,1232.87,0,272058,427.745,0,769.23,0,157366.9,9310.097143,258.8,0,492564.0988,0,0,0,42675.77,0,0,172.53,0,376.2233333,0,0,431.34,172.53,0,258.8,790.795,3436.465,2588.06,5474.655,8697.505,0,0,0,0,93.45,93.45,262.395,467.28,0,132.99,0,0,0,172.53,373.83,163920.88,28536.716,27319.41667,0,0,28490.02,93.45,0,335228.615,5197.595,0,0,3589.74,1750.276667,0,0,61688.01333,61649.61,0,22429.9,0,0,0,10668.94,0,3760684,0,0,27441.585,44290.55,0,0,434.78,0,0,0,0,0,0,0,86.26,0,0,0,0,769.23
2009,11.75555556,NA,24.36666667,1.551968222,63.33333333,53.0529,5.03227,0,142.71,1204.01,2101.465,60.69,0,0,10668.94,0,0,16000,0,58175.13,12869.21,0,0,0,0,0,583.51,0,729.39,1738253.114,0,0,48145.775,0,0,0,0,236994.2,0,0,0,0,0,0,0,0,0,0,486672.775,303924.8136,15496218.64,0,0,5236.42,6059.276667,0,445014.5143,0,0,0,0,72.93,447.885,0,1882678.633,0,0,0,0,0,0,39383.27,0,0,5386.484,0,0,0,0,5060.72,72.93,0,769.23,60.69,145.87,0,0,0,0,4555328.686,8122.57,23835.93,19527.485,0,71.35,800,0,46465.74333,182.07,0,60123.37667,0,0,0,214.07,0,1169.23,0,0,0,17384.015,0,0,0,0,0,152708.8505,0,0,0,769.23,0,0,291.75,25138.26,81367.36,0,2326.14,0,0,55910.4875,0,0,140741.6725,0,0,3656108.5,0,3274.785,0,0,0,0,20661.26333,0,0,379.64,234.565,718.4375,330.77,0,32973.065,0,0,25551.12,0,87839.57,2983.19,0,0,138810.2825,5148.57,0,0,0,0,0,0,0,118.0866667,0,0,0,0,0,0,1153.845,4292.305,71.35,682.515,5829.953333,0,0,0,0,0,0,0,0,0,121.38,0,0,0,424.84,0,25138.26,253226.026,13198.37667,0,0,10121.45,769.23,769.23,64423.36333,3846.15,0,1538.46,741.4,1325.75,434.78,0,153423.7944,70212.756,94117.64,73913.04,15114.575,0,0,0,0,593792.15,0,0,8423.85,163571.5325,0,0,0,769.23,0,0,0,15702.115,0,0,0,0,0,0,5217.39,769.23
2010,11.63125,NA,24.43125,1.77419,61.74107143,53.0529,5.03227,0,0,2178.2625,428.64,0,87.19,769.23,0,0,19598.23,0,303.9466667,3846.15,64651.49333,0,0,26343.51,13076.92,13605.235,0,0,2833.454,1732564.451,1538.46,0,86523.267,0,0,5641.02,20242.91,28799.595,0,0,19314.055,0,0,0,0,0,0,0,1430128.849,285808.9833,3994285.268,0,28074.11,0,23846.15,0,452297.5627,177.24,354.48,88.62,0,0,72.75,0,1722755.858,0,173347.775,0,43336.94,0,0,68893.248,0,0,50026.03375,0,769.23,0,27570.99,90.295,0,45.57,0,0,5846.152,0,0,0,0,2265047.785,23440.37714,7091.127778,2785.645,176.1,0,0,0,7890.914286,222.905,177.29,34438.78727,0,0,0,769.23,0,2867.286667,0,0,4204.293333,58014.464,0,0,0,0,0,302525.1439,0,149207.76,769.23,634.792,0,5334.47,2307.69,81658.795,37827.455,30189.66667,3783.012,0,0,82070.04706,0,0,62628.41,0,0,5128205.4,26343.51,3076.92,0,0,0,0,5270.321538,769.23,0,0,440.9642857,2118.98,793.4585714,0,15250.89333,0,0,7267.29875,0,55125.67667,8785.353333,0,0,295325.4507,6352.21,0,0,0,0,0,88.62,88.62,481.9966667,107.84,0,0,0,0,0,71.305,2307.69,769.23,1620.895,4728.68625,0,0,106.6333333,0,0,87.905,0,0,0,67.105,0,45.57,434.78,91.15,0,177049.0333,29564.18778,1538.46,10121.45,0,68927.485,0,27570.99,108747.4313,16251.35,0,0,3221.847778,769.23,88.62,769.23,518180.3436,415924.6911,0,67692.3,2564.1,1078.49,769.23,36285.82667,0,386768.2775,0,0,5999.996,1270825.689,277.77,77.29,1538.46,316.1433333,88.05,16669.56333,0,0,0,88.05,452.98,769.23,0,769.23,14615.38,791.39
2011,13.79307692,NA,26.71153846,2.214139492,66.47252747,53.0529,5.03227,0,444.44,5636,303.7,0,0,0,0,0,0,0,1854.95,0,37845.7,0,82.785,0,0,0,0,0,4542.256,1753672.45,40756.91,800,127108.2,0,0,0,0,93158.66,0,1555.55,9333.33,0,0,0,0,0,0,0,92377.04667,1102337.467,0,30075.18,0,0,0,0,109087.17,0,0,0,162.96,0,696.61,0,1076685.977,0,0,0,0,0,0,45112.775,0,1333.33,0,16348.77,0,0,30075.18,641.47,81.48,444.44,0,0,0,0,0,0,0,1606931.869,69135.14429,17532.055,0,0,0,0,0,40756.9125,888.88,0,123399.2,0,0,5822.41,0,0,1140.736667,0,0,7818.855,62206.286,444.44,0,0,0,5822.41,959392.775,0,0,0,778.652,486.3,0,1333.33,30075.18,631578.9,0,1186.71,0,0,31651.02167,11274.76,0,0,0,0,4260209.786,0,0,0,0,0,0,81769.87143,0,0,6400,1040.879167,904.9127273,568.6071429,266666.7,23289.66,444.44,0,30392.75333,0,73774.375,14701.01375,0,487.63,3691586.002,24454.295,0,0,0,0,0,0,0,1955.55,0,162.96,0,0,0,0,265.945,13585.63333,334.91,883.725,3133.425,0,0,96.5,0,0,0,0,0,0,0,82.16,0,0,167.45,0,563408.62,196246.2029,0,0,0,0,0,0,44490.50429,888.88,0,0,6838.285714,33317.73667,0,0,214447.0514,150375.9,0,0,8733.62,1777.77,0,30075.18,0,0,0,16348.77,0,280985.5018,0,0,8000,0,0,0,0,0,0,0,81.48,0,0,0,0,1900.0425
2012,14.24642857,NA,25.89285714,1.4435455,50.58163265,53.0529,5.03227,0,0,296.7,0,0,0,0,0,0,14400.525,0,307.69,5400,38495.745,46579.325,0,0,0,0,5000,0,7000,338983,307.69,0,109884.3133,0,0,0,0,0,0,1846.15,0,0,0,0,0,0,0,0,96371.59154,1092151.248,2238916.58,0,0,1230.76,0,0,1055431.59,0,0,0,0,0,0,0,1826089.836,0,0,0,0,0,1000,47080.934,0,11461.535,0,0,0,33783.78,0,0,0,0,0,0,0,75187.96,6550.215,0,800,3204536.047,14556.04,27936.29571,900,800,0,0,0,29736.535,923.075,0,33458.61083,0,0,307.69,923.07,0,302.195,0,0,5153.845,50023.75667,0,0,1500,0,1000,524577.3089,0,0,0,1115.38,0,2000,1512.82,33783.78,11000,5333.333333,4307.69,0,0,68861.05,14245.01,0,481203,0,0,5914237.33,37593.98,0,0,0,285.71,0,77142.70375,0,0,0,3174.298462,1208.786667,1219.775,36641.43,0,0,0,32023.285,0,45380.8025,7489.173333,0,4666.666667,533959.13,0,0,0,0,0,0,0,0,750.766,571.42,0,0,0,0,0,615.38,3805.054,300.3633333,2133.594286,5139.01,0,0,0,0,0,410.2533333,0,0,0,0,0,0,0,0,0,135997.42,9702.414,4000,0,0,14556.04,0,0,53823.05167,307.69,0,0,3935.32,0,0,0,167963.1133,0,0,367553.92,0,0,0,10761.515,48339.82,383289.3,0,0,0,559899.435,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,3000
2013,NA,NA,25.76428571,1.970715662,63.61734695,53.0529,5.03227,0,0,3309.2625,0,0,0,0,344.82,66408.41,5755.39,0,0,0,6625.636667,128922.4975,0,0,0,0,3200,0,6333.683333,2115384.55,0,0,252478.18,0,0,0,11510.79,58598.83667,0,0,3200,0,0,0,0,34532.37,0,0,181576.4467,1005478.885,7027540.533,0,0,0,0,0,2115820.061,0,0,0,0,0,428.565,0,1974745.443,0,0,0,0,184172.7,0,42857.135,0,5600,20656.495,0,0,0,113960.1,0,0,0,0,0,285.71,0,344.82,571.42,800,7596337,60551.475,27220.62125,0,0,0,0,0,202600,3076.92,0,25400.19571,0,0,1538.46,800,0,2228.1125,0,0,0,32425.84222,0,0,0,0,0,378249.8918,0,0,0,1584.8775,0,0,0,113960.1,11510.79,41403.86,7346.493333,0,0,82060.145,0,0,0,0,0,4908158.482,0,0,0,0,0,0,15896.31167,0,0,0,1894.085,780.7825,1714.28,0,0,0,0,34203.95714,0,33846.15,12210.32444,0,2080.871429,1090091.809,31398.72,0,0,0,0,0,0,0,1916.631429,0,0,0,0,0,0,572.41,0,0,1742.855,4102.56,0,0,0,0,0,0,0,0,0,1538.46,0,0,0,689.65,0,459259.24,20397.79833,0,0,0,0,1538.46,0,111195.3057,5755.39,0,11068.06,2211.493333,11510.785,0,0,369503.313,136981.68,0,0,0,0,0,0,0,0,0,0,17640.88571,1295905.532,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,344.82
2014,NA,NA,26.72857143,1.803452614,51.65816327,53.0529,5.03227,5384.61,0,729.44,0,0,0,0,0,0,113960.11,0,344.82,0,96923.07,15021.895,344.82,0,0,0,3076.92,0,4023.363333,1034274.507,3076.92,0,329498.6714,10769.23,0,6400,0,35528.20333,12307.69,0,0,0,0,100769.23,0,0,0,9230.76,247765.3967,1167876.077,4992117.833,0,0,0,0,0,3770126.236,0,0,0,1034.48,0,344.82,0,2230276.939,0,0,0,0,13461.535,7079.64,42403.87833,0,0,3076.92,0,0,0,0,0,0,0,0,0,8345.886,0,0,12307.69,0,4531735.071,14217.47,23888.575,3846.15,0,0,344.82,1724.13,12161.97125,2586.2,0,91167.92889,0,0,1538.46,0,0,1815.383333,0,0,344.82,71383.565,5934.03,0,0,1538.46,11068.06,785743.8671,0,0,0,0,0,0,6330.676667,0,38738.235,197179.815,2809.848,284900.275,370370.35,31150.78111,0,0,241379.3,0,1803.71,11487179.5,769230.65,29629.62,1538.46,56980.05,0,0,28126.66667,0,12284.29714,0,1712.49,1137.302727,1436.448,0,8000,0,1538.46,21235.696,0,6400,10149.93167,0,1074.265,4079060.434,11948.902,0,0,0,37142.85,0,0,0,857.6433333,571.42,0,0,0,0,16923.07,630.535,33204.2,1379.31,0,5802.173333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.82,706046.2522,743042.4127,26851.13,0,0,34024.055,0,0,180291.1656,7841.72,0,0,13653.845,24369.115,0,0,155266.0708,199471.55,0,296790.25,0,0,0,0,0,0,0,33204.2,7200,671085.4482,0,0,5384.61,1169.23,0,0,0,0,0,0,0,0,0,0,0,769.23
2015,NA,NA,26.6,1.644005929,53.42346939,53.0529,5.03227,0,800,3087.416364,0,0,0,0,0,0,26936.02,0,1999.993333,0,41350.03,0,0,0,0,0,6624.995,0,6849.995,0,4782.318,0,305892.252,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,478502.9385,2034100.463,6734007,0,0,0,0,0,169496.2689,0,0,0,0,0,1249.99,0,2150973.181,53872.05,0,0,0,16835.01,0,89392.08,0,0,0,11369.69143,0,37710.435,127946.13,0,800,0,0,0,2499.99,0,0,10624.99,0,10707708.79,26936.02,12874.51889,0,0,0,444.44,0,18488.88556,0,4333.326667,59967.415,0,0,7575.75,0,0,1477.774286,0,0,0,56517.55143,8417.5,0,6481.475,7239.05,1633.326667,290353.3655,0,0,0,1024.995,0,0,3833.326667,34511.78,414983.2933,45983.64143,11874.99,0,0,4000,0,0,0,0,0,6328282.833,42087.54,0,0,0,0,5387.2,33389.90167,0,1519.994,0,2429.63625,1586.662,1624.995,0,0,1249.99,0,6925.3175,0,0,11844.51231,0,0,2523878.632,22857.644,0,0,0,0,1006.24875,0,0,0,0,0,0,0,0,42087.54,0,15846.8825,5387.2,800,4308.505,1600,0,0,0,0,0,800,0,0,0,0,0,0,800,0,350729.4733,48824.71091,3719.994,0,0,0,0,0,97830.14444,25252.52,0,1600,2720,8750.836667,0,0,143602.7013,99283.44333,0,0,0,0,0,0,0,0,0,0,5966.666667,2027265.829,0,0,0,0,0,0,526.31,0,444.44,0,896.2933333,0,0,0,0,5878.333333
2016,NA,NA,24.32142857,1.308292314,55.60204082,53.0529,5.03227,444.44,444.44,1207.406667,0,0,0,0,0,0,33112.58,0,2100,3600,6600,6249.99,0,0,0,0,444.44,2400,1958.728571,0,10142.42333,0,406620.64,0,0,0,800,40485.825,0,1777.77,0,0,0,0,0,0,0,0,235455.3114,2470028.594,0,0,0,0,0,503311.2,96037.63667,0,0,444.44,0,266.66,474.0666667,88.88,2334733.787,328009.35,0,0,0,60175.78333,0,82398.8225,0,0,0,0,0,0,89403.98,0,0,0,0,0,1908.885,0,0,6088.8875,0,6327062.643,54365.39,16012.749,10656.765,6747.63,0,0,0,6981.48,588.885,0,39928.21,0,26490.06,0,0,52980.13,1328.393333,0,0,1777.775,139152.4729,0,0,6072.87,7247.635,0,305955.4927,0,0,0,0,0,0,8000,66225.16,40718.19667,10653.24333,9052.77625,0,0,65271.88,0,0,0,800,0,26970588.25,26490.06,0,0,0,0,0,4587.4975,0,8749.99,0,9886.997273,804.442,1807.403333,0,0,800,0,2586.866364,0,165562.9,4974.25,2400,562.96,599946.431,19783.98,0,0,0,0,1096.293333,0,0,0,888.88,444.44,0,0,0,0,888.88,3099.055,444.44,933.3333333,3257.776,622.22,444.44,0,0,0,0,588.885,0,900,0,0,0,0,0,0,117181.75,188040.1033,2100,0,5398.11,0,0,0,103476.8125,5398.11,2400,1000,900,800,0,0,199471.8343,227564.4717,33112.58,0,0,0,0,0,0,0,0,0,5466.666667,2115982.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280.85
2017,NA,NA,27.18571429,NA,NA,53.0529,5.03227,0,900,2666.666667,2950,0,0,0,6747.63,0,19459.41,0,2050,5000,13933.33333,15820.51,0,0,0,0,0,0,0,33112.58,64102.555,0,182119.1933,0,0,0,3715.876667,0,0,198.47,0,0,0,0,0,0,145695.365,0,188189.8508,3002594.647,0,0,0,0,0,0,201680.645,0,0,0,59.31,0,188.57,0,2724323.286,99337.74,0,0,0,40485.825,0,73951.435,0,25000,0,5398.11,0,0,150110.37,0,0,0,0,0,4000,0,0,11950,0,12134453.71,66225.15333,9030.285556,14336.70333,0,0,0,5398.11,16600,1733.333333,405.04,55041.39091,5398.11,0,8547.003333,0,0,1339.258889,0,0,762.685,30538.644,6747.63,0,5398.11,6072.87,1000,388996.4403,0,0,0,7014.3,0,0,7000,0,142378.3614,29689.606,548.8266667,0,0,25889.43636,0,79470.19,0,0,0,38343137.17,166508.9857,0,0,0,0,0,37740,0,57000,0,553.0133333,1084.932222,231.7866667,0,0,933.3333333,0,8228.571429,0,20242.91,5571.953636,0,1000,3294490.943,10346.37333,1000,0,0,0,1050,0,0,0,0,120.526,0,0,0,20082.04,2550,14432.655,1000,800,7866.666667,0,1000,1100,99.23,0,0,0,0,0,2000,0,0,0,0,62.85,60338.47667,135026.7729,4766.666667,0,5398.11,0,0,0,132275.4171,9896.533333,0,13495.27,12846.06,31309.038,78.715,0,169701.9775,208734.38,0,0,0,0,0,0,0,0,132450.3,0,25994.33,320760.7264,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0
2018,NA,NA,28.15,NA,NA,53.0529,5.03227,5738.88,0,0,0,0,0,0,0,0,58823.52,19200,0,0,94604.586,24647.744,0,0,0,0,0,0,22000,0,5738.88,0,309953.41,0,0,0,0,0,0,0,0,24289.33333,0,0,21520.8,0,47794.11,0,698363.1043,1849993.811,322812,0,0,0,19200,0,1085078.745,0,0,0,0,0,800,0,2181983.886,0,0,29411.76,0,14347.2,0,259191.1643,495673.375,0,23944.76,0,0,73529.405,0,0,0,0,0,0,2292.855714,0,800,3200,0,13341666.79,42055.2325,36186.82778,16874.74667,35868,0,90.05,0,88817.54714,1616.604,0,9334.604,0,0,0,0,29411.76,873.4616667,5738.88,88.98,5269.3075,72647.65667,0,0,3062.496,0,3369.44,0,745880.3571,0,0,2000,0,0,0,58823.52,83333.33333,26909.22667,12130.88667,0,0,5465.643636,2499.99,0,82379.336,0,0,9561904.714,58823.52,0,0,0,0,0,223982.36,0,881.115,169.92,6955.273333,822.2485714,749.266,0,0,0,0,15596.06286,27259.68,58857.898,10989.665,0,1333.333333,885283.1867,53082.757,0,5738.88,0,0,0,0,0,1361.375,0,0,0,0,0,0,1100,0,201.06,5738.88,7072.213333,0,0,90.05,0,0,0,0,0,800,0,0,0,800,0,0,294117.65,230783.0943,1600,0,0,0,0,36764.7,146162.1178,4086.8,0,900,44809.52,3564.814286,0,0,112222.0138,377100.8843,0,0,0,0,1249.99,8967,0,115495.0067,0,17934,14891.82,3444371.665,0,0,0,800,0,0,0,0,0,0,0,0,5690.468571,0,0,0
