year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus normanii,Actinocyclus octonarius,Actinoptychus senarius,Akashiwo sanguinea,Amphora [1],Anabaena,Apedinella spinifera,Aphanizomenon,Archaeperidinium,Asterionella formosa,Asterionellopsis glacialis,Asteroplanus kariana,Aulacoseira,Aulacoseira ambigua,Aulacoseira granulata,Bacillaria paxillifer,Bellerochea malleus,Biddulphia alternans,Biota,Campylodiscus,Cerataulina pelagica,Ceratoneis gracilis,Chaetoceros,Chaetoceros ceratosporus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros subtilis,Chaetoceros tenuissimus,Chlorophyta,Chromista [1],Chroococcales,Closterium,Coelastrum [1],Coscinodiscophyceae,Coscinodiscus centralis,Coscinodiscus radiatus,Crucigenia,Cryptomonadales,Cyanophyta,Cymatosira belgica,Cymbomonas tetramitiformis [2],Delphineis,Desmodesmus,Diatoma tenuis,Dictyocha,Dictyocha speculum,Dinobryon,Dinophyceae,Diploneis,Ditylum brightwellii,Entomoneis,Eucampia zodiacus,Euglenophyceae,Eukaryota,Eunotogramma dubium,Eutreptiella,Fibrocapsa japonica,Fragilariaceae,Gloeotila,Guinardia delicatula,Gymnodiniales [1],Gyrodinium,Gyrodinium spirale,Gyrosigma,Gyrosigma balticum,Gyrosigma fasciola,Gyrosigma tenuissimum,Haslea,Helicotheca tamesis,Heterocapsa,Heterocapsa lanceolata,Heterocapsa triquetra,Katodinium glaucum,Khakista,Khakista [2],Kirchneriella,Koliella,Kolkwitziellaceae,Lauderia annulata,Lennoxia faveolata,Leptocylindraceae,Leptocylindrus,Licmophora,Limnothrix,Lithodesmium undulatum,Mamiella gilva,Mantoniella squamata,Mediopyxis helysia,Melosira [1],Melosira moniliformis,Melosira nummuloides,Melosira varians,Merismopedia,Meuniera membranacea,Micromonas pusilla,Minutocellus polymorphus,Minutocellus scriptus,Monoraphidium,Navicula distans,Nephroselmis,Nitzschia bilobata,Nitzschia reversa,Nitzschia sigma,Odontella,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Odontella regia,Odontella rostrata,Odontella sinensis,Oocystis,Oxytoxum,Paralia sulcata,Parlibellus delognei,Pediastrum,Peridiniales,Phaeocystis,Plagiogrammopsis,Plagiolemma distortum,Plagiotropidaceae,Plagiotropis lepidoptera,Planctonema,Planktothrix agardhii,Pleurosigma,Pleurosigma angulatum,Pleurosigma normanii,Pleurosigma simonsenii,Pleurosigmataceae,Podosira stelliger,Prorocentrum,Prorocentrum cordatum,Prorocentrum micans,Prorocentrum triestinum,Protoperidinium,Protoperidinium achromaticum,Protoperidinium bipes,Prymnesiales,Pseudanabaena,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,Pseudochattonella,Pseudopedinella,Pseudopodosira westii,Pterosperma,Pterospermataceae,Pyramimonas,Pyramimonas longicauda,Rhaphoneis amphiceros,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia styliformis,Scenedesmaceae [1],Skeletonema,Skeletonema potamos,Snowella,Stephanodiscaceae,Stephanopyxis turris,Subsilicea fragilarioides,Surirella,Tetraedron [2],Tetrastrum,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira,Thalassiosira eccentrica,Thalassiosira hendeyi,Thalassiosira levanderi,Thalassiosira nordenskioeldii,Thalassiosira punctigera,Thalassiosira rotula,Torodinium robustum,Trachelomonas,Trachydiscus,Trachyneis aspera,Tribophyceae,Tripos lineatus,Tryblionella,Tryblionella punctata,Ulnaria acus,Ulotrichaceae,Warnowiaceae
2000,12.30368421,8.008947368,14.97315789,10.41763621,245.1587302,53.30429,7.15666,888.8866667,0,894.6725,0,28055.54667,0,0,40000,0,11428.57,39999.99,6999.995,15619.04143,0,0,0,0,1428.57,5809268.287,833.33,0,3199.994,280288.7483,31249.99,0,0,99946.57778,0,3141329.971,516086.3433,879749.9967,0,33333.325,3728196.672,0,0,19999.99,1073935.256,411900,0,0,133421.6214,0,29062.49,0,0,0,33958.3275,11821.5725,833.33,8114.5775,0,19999.99,0,131275.3638,18124.99,0,911854.1,0,2857.1375,27774.486,4679.48,0,8000,833.33,3155.728,0,0,0,42464.27857,0,0,324.07,459543.7413,0,0,6749.995,0,0,0,7499.99,0,324.07,30000,1157.4,0,0,0,0,0,36231.29583,0,0,0,0,73158.56,0,128371.304,0,0,3749.99,833.33,4466.662,0,7267.850714,0,0,0,0,0,0,0,14342.45545,0,16966.662,2642.851429,0,19256.55444,0,0,0,0,2135435.266,0,1000,1000,0,0,0,0,0,0,0,0,833.33,0,269974.3,12000,7857.14,0,0,0,0,18124.99,0,83638.726,0,0,2420.63,11915.45462,0,130300.1456,1238929.984,398215.818,16666.66,84346.94333,0,0,6999.993333,0,1846154,0,8409.518,132202.6689,0,0,53749.992,4999.99,324.07,0,0,0,0,0,0,0,0,0,4999.99,0,0
2001,12.30761905,7.926666667,12.31333333,8.804897905,272.6870748,53.30429,7.15666,6249.993333,0,2518.515556,0,2416.665,0,0,240277.7683,0,23333.33,22333.32667,833.33,18954.53818,0,0,0,0,4000,5979620.852,0,0,5477.267273,460480.4257,202020.2,2133.33,0,131280.94,0,1305985.006,410447.3356,2633386.495,1944.44,9999.99,771905.8889,0,0,0,1379229.441,990459.3567,0,0,145277.904,0,1666.66,0,0,29999.99,833.33,10430.5525,3333.325,3888.88,0,2222.216667,496775.175,17944.43833,11095.23143,0,0,8333.33,8566.66,43926.17769,0,0,3749.995,0,4854.16125,0,4000,0,113056.0111,0,2000,833.33,210665.1438,0,0,10138.88167,0,19999.99,0,10000,9999.99,0,0,0,0,0,0,0,54000,37211.10533,0,0,0,0,14999.99,168918.9,190599.26,3000,0,4999.99,8999.996667,3541.66,0,7392.151765,0,0,0,0,833.33,0,0,17397.43,0,32190.46857,2916.66,5077134.667,51523.443,0,0,0,8055.546667,501416.664,0,0,3499.995,0,0,0,0,0,0,0,0,0,0,452488.7,103124.995,32785.70571,0,0,0,0,833.33,0,198759.31,0,5999.995,64999.99,14633.33,0,75573.78294,376077.1346,0,0,36283.768,0,0,2708.326667,0,366837.85,0,27499.992,346922.1181,0,0,0,0,2374.9975,0,0,833.33,0,2444.443333,0,0,0,0,2916.66,0,0
2002,13.16210526,7.911052632,12.52210526,9.4161102,235.0714286,53.30429,7.15666,3277.773333,833.33,833.33,0,0,0,0,79166.66,0,0,9999.99,7083.325,11904.75571,0,0,0,0,0,8509733.369,0,833.33,9892.85,215315.3125,0,4166.66,0,203065.1331,0,2531342.35,739678.8615,1363746.033,7486.105,0,2371487.306,0,0,0,1312625.611,220083.33,0,0,114448.266,0,34999.99,0,0,0,4999.99,5333.327778,5333.328,20624.99,0,833.33,211363,60726.60167,9749.992,0,0,0,3999.994,40354.24308,0,0,0,0,6148.144444,0,0,0,80046.29,0,0,0,314172.326,0,0,1999.994,0,0,0,0,9999.99,0,6666.66,4999.99,0,0,0,0,1666.66,38237.17308,2499.99,9999.99,0,0,0,192478.65,62264.63,2000,0,2916.66,0,2916.66,0,19865.37769,0,0,0,0,833.33,0,0,19868.05,0,47531.245,6488.088571,0,112890.3767,833.33,0,0,0,6185571.619,0,0,0,0,0,0,0,0,0,0,0,1666.66,0,168918.9,39999.99,11527.77,0,0,168918.9,833.33,833.33,0,203743.4729,0,0,0,3651.51,0,176061.7377,479829.1217,394144.1333,0,5416.66,0,0,1458.3275,0,689008.83,0,13138.88333,316266.6826,0,0,0,0,0,0,0,0,0,2416.665,0,0,0,0,2499.994,6000,0
2003,12.23619048,7.922857143,15.58238095,15.548356,218.0612245,53.30429,7.15666,0,0,1547.614286,0,16041.66,0,0,0,0,9291.6625,4444.44,1666.66,44874.99375,0,0,0,0,1666.66,13000136.27,0,0,2208.3275,141834.7275,0,0,0,173567.566,0,483878.0083,1266789.587,1024624.443,833.33,0,1312411.12,0,0,0,1167412.694,10427064.56,0,0,111563.8913,0,4166.656667,0,0,0,0,6481.475556,3666.66,7347.216667,0,0,3030303.286,56688.05188,22291.66167,3958.33,0,0,7166.66,74256.847,0,833.33,0,0,2064.097692,0,833.33,0,91415.53,0,0,0,239885.0903,0,168918.9,18124.99,0,0,0,3333.325,5833.325,833.33,0,4999.99,0,0,0,0,62083.328,45483.326,0,0,0,0,833.33,3982498.978,70703.01286,3166.6625,0,2499.99,0,4027.77,0,5302.625263,0,0,833.33,0,9999.99,0,0,11620.36333,0,73124.995,3333.325,28333.33,30909.08273,888.8866667,0,0,263378.395,483229.1638,0,0,0,833.33,833.33,0,0,0,0,0,0,833.33,0,245777.0129,0,8124.9925,0,0,0,833.33,4999.99,0,669376.8322,0,833.33,0,2145.8275,0,84317.98063,98001.1225,168918.9,0,74567.554,0,0,1805.55,0,0,0,13854.1575,104054.0437,0,0,29999.99,0,833.33,0,0,0,0,2333.326,0,0,0,0,6944.436667,24999.99,0
2004,11.57210526,7.972105263,14.09315789,8.145145,233.968254,53.30429,7.15666,666.66,0,2916.66,0,12338.06,0,0,401000,0,4699.996,249999.99,1416.665,22999.99857,0,0,0,0,0,5543880.576,0,0,3777.773333,22499.99,0,0,0,94678.55,0,530148.5533,1400368.369,203124.995,833.33,168918.9,854095.8458,0,0,0,1491310.5,2750202.454,0,0,440279.9857,0,0,0,0,0,0,6703.698889,3000,11461.8775,0,2000,4882268.78,32287.6,14866.662,0,1416.665,0,2416.665,34542.8425,0,0,0,0,2277.773333,0,0,0,36861.94833,0,0,0,121579.5106,0,62305.29,833.33,0,0,0,7999.995,0,0,12499.99,0,0,0,0,0,15000,43906.2425,0,21666.66,0,0,0,606841.265,105993.355,0,0,4999.99,0,6111.11,0,18205.524,0,0,0,0,0,186915.9,0,15309.87077,0,22208.33,3999.9925,0,11242.135,0,0,0,26666.66,8725624.995,0,0,0,0,833.33,17558.70667,0,0,0,0,0,0,0,100084.445,0,9999.99,0,0,0,0,833.33,0,188917.5975,0,0,0,11296.29,0,70061.16,53861.055,0,0,1666.66,111042.6,0,2266.664,0,0,14000,14222.22167,320206.7081,0,0,0,0,0,0,1249.995,0,124610.6,0,0,0,0,0,0,39999.99,0
2005,12.24157895,7.918421053,15.17263158,7.4322432,206.4705882,53.30429,7.15666,2833.325,0,666.66,0,0,0,0,0,0,1333.33,44281.00667,1538.46,58291.6575,0,0,33333.33,0,769.23,10025709.96,0,0,4832.4175,13267.87333,0,1000,9563.31,45752.176,0,826041.1127,685803.4464,76923.07,1333.33,0,1149582.721,0,0,123304.6,1844252.011,977327.3571,0,0,260340.84,0,1333.33,0,0,0,0,4472.604444,4999.99,32364.6,884.615,6153.84,428191.8,26602.0025,38783.775,0,0,0,3303.453333,15778.84667,0,0,1333.33,0,2449.86125,0,0,0,56193.41,0,0,0,208047.6363,0,0,4999.99,0,0,0,22649.992,3000,0,99999.99,9999.99,0,0,0,0,0,52629.27833,0,0,0,0,0,730574.47,94905.61667,0,0,2833.325,7083.325,0,0,8711.33,0,0,0,0,4999.99,2666.66,0,12677.50571,0,71249.9925,19235.624,5866114.5,15804.06909,666.66,0,0,0,11527492.5,0,0,0,0,17172.45167,0,0,0,0,0,0,0,0,1511948.675,0,7999.993333,0,0,84459.45,0,1415.7525,0,104946.2983,0,3817.3025,2401.703333,17994.50857,0,149724.7209,303839.1678,221015.4,64444.44,0,0,0,748.175,0,17833.325,1923.075,11965.226,847650.5623,0,799.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,12.57105263,7.954736842,16.00473684,9.989793263,230.7518797,53.30429,7.15666,667,0,1763.333333,0,769,0,10927,1480344.667,0,10611.75,0,5000,67842.6,0,0,0,0,10000,3737388.135,0,0,4593.25,236651,0,0,0,119628.2222,0,484544,431002.9286,2389486,0,0,787335.7647,0,667,132137,1809010.778,2380953.667,0,0,194973.7143,0,0,0,47348,0,0,9656.923077,1081.5,13558,1538,2307.5,3674517.222,259106.7692,3077,0,0,0,3846,19736.66667,0,0,0,0,6760.666667,0,0,0,40533.57143,0,0,0,272856.3548,0,0,0,0,0,0,24160.75,10927,0,0,2871.666667,0,0,0,0,0,74706.5,0,35333.33333,0,23593879,275710,134791.6667,21620.16667,0,0,22337,769,3009.333333,0,30870.33333,0,0,0,0,4000,0,0,10586.33333,0,14154,1538,55142,51262.25,1538,0,0,0,2737310.5,0,0,0,0,769,0,0,0,0,0,2435.5,2307.5,0,1612903,0,35967.25,0,0,4615,0,8616.666667,0,109227.2857,0,667,667,15723.88889,0,71517.7,768475.6667,7333,0,0,0,0,4401.666667,34674,0,0,14529,395814.0625,6154,0,0,0,667,0,0,769,0,1250,0,0,0,0,0,0,0
2007,11.73947368,7.941052632,11.88421053,9.084871474,289.4360902,53.30429,7.15666,0,938.72,1670.936,0,0,0,0,0,0,1874.99,0,0,41506.568,6153.84,0,0,0,0,3497699.323,384.61,0,9347.392857,193085.6475,0,3333.33,0,235442.828,0,303873.8318,1885394.965,307692.3,0,0,2003164.428,0,0,0,1193847.327,781791.926,0,0,133874.2043,0,0,0,0,9999.99,0,4274.888182,5882.22,4102.556667,1538.46,26968.51,3231854.478,52643.69857,11896.63571,0,0,0,3677.735,30120.72429,0,0,0,0,2608.677273,0,3076.92,0,72812.0925,0,0,0,146702.0126,0,0,0,769.23,0,0,25371.1125,0,624.99,0,0,0,0,0,0,0,44667.41,0,98461.53,0,0,0,70264.20333,42100.28,0,0,0,1153.845,4230.7625,0,15923.41429,0,0,0,0,0,0,0,10243.075,0,2711.86,555.55,179211.5,7768.47,384.61,0,0,276666.7,7154993.6,0,0,0,0,769.23,0,0,0,0,0,0,1538.46,0,1911589.133,0,14775.63333,0,0,0,0,812.495,0,193898.728,0,0,338.98,12999.995,4999.99,80456.57467,28674.235,0,116036.51,0,0,0,1853.76125,0,0,0,4615.38,133762.3154,769.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NA,NA,15.095,7.939263059,220.3383459,53.30429,7.15666,0,434.78,813.9914286,0,0,0,82712.98,0,0,0,277392.51,0,515237.09,0,0,4000,0,0,5976380.954,0,4999.99,19837.025,165864.98,0,4999.99,0,215664.4725,0,850510.2733,960131.9536,771987.85,0,87719.29,1662357.079,769.23,0,0,1311267.264,617697.4225,0,0,195655.0586,0,0,0,0,0,1102.56,2319.765,893.085,125217.48,0,34674.06,3047711.885,63934.722,666.66,0,0,0,7682.048,30366.90167,0,4999.99,4999.99,0,5245.007778,0,0,0,400055.41,0,1538.46,0,343423.701,0,90497.73,0,0,0,0,21168.5075,59999.99,0,0,0,0,0,0,34674.06,0,59520.03182,0,12307.685,0,1996920.467,0,622532.2517,40125.47,0,0,0,0,434.78,0,13635.98545,0,0,666.66,0,624.99,0,0,20449.6125,666.66,815923.9188,3941.743333,180822.32,31054.975,4999.99,0,0,34999.99,950000,0,0,0,0,5217.385,434.78,0,0,0,0,338.98,1056.408,1538.46,147734.6,0,187458.0563,0,0,55141.99,0,0,0,233089.5486,0,22018.37,0,19278.256,0,93671.128,62428.25,0,0,19999.99,0,0,3519.642,0,370370.4,0,42917.21667,203461.5695,0,0,0,0,0,1538.46,0,0,0,0,0,0,0,0,0,0,0
2009,NA,NA,16.75714286,9.431624762,213.1292517,53.30429,7.15666,0,0,6513.235714,0,3999.993333,0,0,0,0,2000,0,0,423.02,0,0,0,15333.325,0,5995310.566,0,0,9304.4,177322.3471,0,0,0,195760.8645,0,665638.5511,2005079.908,15625000,0,0,1191045.42,0,0,0,3638967.77,136538.46,20000,0,218764.965,0,0,0,0,171232.9,0,2730.151667,666.66,34659.06667,0,5333.325,10155268.72,72956.45333,5885,0,769.23,0,0,49596.50091,0,2544.44,666.66,0,1807.604,0,434.78,0,21123.5,0,0,0,747646.9944,0,136986.3,0,769.23,0,0,118547.72,0,0,0,0,0,0,29533.75,0,169.21,76893.78563,0,2707.37,0,490196.1,0,1504489.15,116044.15,0,0,0,666.66,9243.305,0,24331.57133,0,339.25,1498.14,0,791.6,0,34036.75,3827.358571,7692.307143,63405.98167,18018.375,0,47468.006,2923.075,0,0,0,431465.86,0,0,0,0,0,0,0,0,395.8,0,0,0,0,929000.5,0,3076.92,6666.66,0,0,4000,666.66,0,216213.8422,2000,8703.093333,0,37777.12286,0,154913.9663,196967.32,0,0,25126.135,0,0,1787.855,0,0,0,3717.385,860126.2878,0,0,0,0,0,0,0,0,0,1538.46,0,56.54,0,0,0,0,0
2010,12.875,NA,14.76875,11.06852625,265.4910714,53.30429,7.15666,481.025,434.78,28681.83625,0,4000,0,12043.77,0,0,0,27998.635,0,105293.554,0,0,2285.71,0,0,5244915.591,0,0,17721.645,130186.58,0,0,0,67137.88375,0,551444.161,483350.2889,0,0,0,626136.2422,0,0,0,2649394.918,153846.1,0,0,424975.7643,0,27229.4,0,0,0,0,798.3025,727.756,47881.46,0,666.66,5182228.614,139131.8464,12993.91667,0,602.005,0,0,49091.6125,769.23,0,999.995,0,3025.6025,0,0,0,97395.778,0,0,0,920127.447,0,0,0,2307.69,0,0,32917.14,0,3538.46,0,0,0,0,4115.948,0,0,161344.435,0,27777.77,0,3357971.92,0,1912153.325,34674.06,0,0,0,0,493.9266667,0,14956.66,0,0,0,0,0,0,0,20698.372,1739.13,5333.33,13593.145,555555.6,53237.275,420.64,0,0,0,0,0,0,0,0,488.96,0,0,0,0,0,602.005,0,0,26343.51,0,2000,0,0,0,6085.68,17721.645,0,211286.3943,0,1219.51,0,22044.18,0,237832.8438,439088.08,256849.35,0,4999.99,0,49999.99,31005.54,0,0,0,0,1370905.969,0,0,0,0,0,0,0,0,185185.2,0,0,0,0,0,0,0,0
2011,14.06142857,NA,18.21428571,7.648602214,176.4693878,53.30429,7.15666,7220.21,0,5175.03,434.78,0,0,27247.95,0,571.42,4000,9999.99,0,0,0,0,0,0,0,2434289.24,0,0,800,643793.0014,0,2333.33,0,461598.8286,0,390525.93,1765955.779,1432876.5,0,0,945945.9,0,0,0,4254074.849,0,0,0,158390.405,0,0,8514.98,0,0,0,1424.487143,0,4004.99,0,0,13451895.92,283099.9438,11489.38333,0,1277.165,0,0,53758.64,0,0,0,0,4241.663333,0,0,0,141604.8525,0,0,0,703722.4512,0,0,0,0,0,0,68119.89,0,6171.653333,0,0,0,0,2132.93,0,0,107878.1442,0,170299.7,0,30215277.78,0,1342465.76,0,0,0,0,0,3200,0,8623.073333,0,0,0,0,0,0,0,20907.822,3079.998,15000,3190.47,0,26857.35833,3000,0,1249.99,0,2564785.4,0,0,0,0,3152.165,0,0,0,0,0,0,3266.663333,4999.99,0,0,0,0,0,0,1249.99,8514.98,0,307792.3517,0,1142.855,0,16264.98125,0,112934.382,303782.428,0,0,0,0,0,1909.935,0,0,4800,21218.85,1456422.081,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0
2012,13.94,NA,19.15,7.205054714,190,53.30429,7.15666,0,769.23,769.23,0,0,0,0,0,0,0,3461.535,4230.765,0,26538.455,7692.3,0,0,0,0,0,0,4230.765,0,0,0,0,27398.875,0,198481.04,8424908.429,0,0,0,769.23,0,0,19999.99,1967365.633,0,0,0,156966.9275,0,0,0,0,0,0,897.435,1538.46,2179.483333,0,4999.99,9515253.615,32543.71714,2884.61,0,0,0,2307.69,182481.8,0,1538.46,1538.46,0,2435.895,0,0,0,19037.05,0,769.23,0,315997.9854,0,0,0,769.23,0,182481.8,4999.99,0,0,0,0,0,0,1025.64,0,0,26029.84667,0,0,0,1094890.667,0,729927,10996.74167,0,0,0,0,4153.844,0,1410.255,0,0,0,0,0,0,0,3076.92,6923.07,12307.69,1346.1525,182481.8,3787.463333,0,0,0,0,57692.3,0,0,0,769.23,1282.05,0,769.23,4999.99,0,0,0,0,769.23,182481.8,0,2820.51,0,0,364963.5,769.23,2884.61,0,258535.5817,0,0,0,13622.01375,0,19307.684,8461.533333,0,0,0,0,0,3076.92,0,0,0,2307.69,638282.1764,0,0,0,0,0,0,0,0,0,769.23,0,0,0,0,0,0,769.23
2013,NA,NA,17.6,8.094276615,184.1836735,53.30429,7.15666,0,0,1577.146667,0,4000,0,148148.14,0,0,0,27472.52,26569.26333,13333.33,0,6153.84,0,0,0,0,0,0,2540.935,56980.05,0,0,0,147879.3867,0,311453.37,993827.15,1185185,0,0,919010.5586,0,0,0,3290637.377,0,0,0,148148.1,0,0,0,0,0,0,8382.483333,1538.46,1324.785,0,0,8838556.42,63749.25,14249.08,0,0,0,1052.63,8868.13,0,0,0,1111.11,1570.833333,0,0,0,51179.92714,0,0,0,844738.6284,0,0,0,0,0,0,54945.05,0,0,0,2000,0,0,4370.802,0,0,117069.2875,0,274725.3,0,5285714.429,0,407407.4,28776.97,0,148148.1,0,1216.113333,3302.244286,0,11609.79083,0,0,0,0,0,0,0,23833.65917,0,9222.215,2324.785,171509.94,32547.25,4615.38,0,0,0,190289.045,0,344.82,0,0,1821.37,0,0,0,0,0,1538.46,1052.63,0,0,0,9538.46,0,0,0,0,1111.11,0,295971.95,0,0,0,17271.83667,0,96908.824,173351.66,113960.1,0,0,0,0,973.42,0,0,0,12732.25333,1823467.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,NA,NA,15.97142857,10.03454214,187.9591837,53.30429,7.15666,0,0,1953.213333,0,0,1116936.025,0,0,0,0,0,26327.50333,0,0,0,0,0,0,3012345.617,0,0,9307.252,155016.28,0,0,0,285924.1786,0,289562.2667,2427609.333,0,1111.11,0,3251028.756,0,0,0,2908798.377,0,0,0,299663.2667,0,0,0,0,0,0,16909.84154,896.6833333,13858.99,0,0,13112554.14,109101.545,18315.01333,1538.46,0,0,2105.26,133808.824,0,0,0,0,4594.503333,0,0,0,112501.6933,0,0,0,1423407.819,0,0,148148.1,0,0,0,136758.25,0,0,0,0,148148.1,148148.1,0,0,0,129498.4873,0,0,0,19111111.17,0,703703.575,88462.535,0,148148.1,0,0,970.758,0,6940.11,2914.976667,0,0,0,0,0,0,172441.9883,0,0,6117.213333,0,40223.85667,1269.23,0,0,0,2.00E+05,0,0,0,0,1866.587143,0,0,0,0,0,0,0,0,148148.1,0,2105.26,0,0,0,0,1538.46,0,351851.825,13736.26,0,0,130971.75,0,357170.5875,13402014.8,0,863309.3,296296.3,0,0,1836.986667,0,54945.05,0,11448.10333,1075614.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,NA,NA,16.10428571,10.57278991,211.8367347,53.30429,7.15666,0,0,7489.333333,0,0,0,56980.05,0,0,1249.99,0,0,0,67340.06,0,0,0,0,0,444.44,0,0,13468.01,0,0,0,297011.55,0,727402.1933,2120594.492,1333333,0,0,655888.6755,0,0,0,4018209.793,0,0,56980.05,11068.06,0,0,0,1249.99,0,0,8147.871818,0,8805.3525,0,0,13171411.93,84080.01571,15903.012,0,13468.01,0,4000,111748.3475,0,444.44,0,0,2174.39,0,0,0,84586.09167,0,0,0,1132138.719,0,0,0,0,0,0,53872.05,0,0,0,444.44,56980.05,0,4999.99,24999.99,0,122741.7167,0,0,0,8218181.8,0,723232.34,88462.535,0,148148.1,0,0,3944.4425,16258.99,7749.995,5903.8425,0,0,0,0,592592.6,0,21791.66,0,0,28776.97,56980.05,176156.1833,4999.99,0,0,0,1726619,3629.623333,666.66,0,0,0,0,0,0,0,0,0,0,0,296296.25,0,4444.44,0,0,0,4000,12757.44333,0,351204.3333,4000,17460.01,0,12822.66333,0,215488.2,111647.625,67340.06,0,0,0,0,5887.358333,0,227920.2,0,0,882828.8923,0,0,0,0,0,0,0,0,0,0,148148.1,0,0,0,0,0,0
2016,NA,NA,13.94,10.64514,230.3061225,53.30429,7.15666,0,444.44,4642.847143,0,4999.99,0,82781.45,0,0,33738.19,0,9999.99,0,438596.49,0,0,0,0,0,0,0,4999.99,279230.0667,0,0,0,235738.35,85250.37,573368.35,2055010.907,0,0,0,314619,0,0,0,5111442.623,0,0,0,175438.6,0,0,0,0,0,0,3878.779091,444.44,4374.99,0,0,12067099.58,195014.8833,33738.18667,0,0,0,0,81346.18571,0,444.44,9999.99,0,7133.324,0,0,888.88,175320.4957,82781.45,0,0,2768424.905,0,0,0,0,0,0,67476.38,0,0,0,888.885,0,0,0,0,0,154060.581,0,0,0,49926470.7,0,2060596.671,0,0,0,0,0,1694.4375,0,11247.63,2177.77,0,0,0,0,0,0,14999.99,0,0,8749.99,11825.92143,94466.945,888.88,0,0,0,0,666.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24999.99,0,0,0,0,0,0,374525.209,87719.29,4999.99,0,0,0,530902.975,144552.8833,82781.45,0,0,0,0,2520.82625,0,0,0,0,710542.4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NA,NA,17.12142857,NA,NA,53.30429,7.15666,1333.33,0,3958.075,0,0,0,0,0,0,0,22136.13,46433.66333,0,0,0,0,0,0,0,0,0,20000,80851.5575,0,1600,0,615327.474,0,184710.3288,1387328.75,0,0,0,1718085.175,0,0,0,3677431.329,0,0,0,427350.3833,0,0,0,0,0,0,3021.157,0,6925.154,0,0,13351474,78776.53333,17438.79,0,0,0,1600,82554.902,0,0,0,0,3653.36,0,0,0,93071.97444,10748.54,0,0,1798749.79,0,0,0,0,0,0,39845.04,0,0,0,0,0,0,5258.6175,0,0,70036.10857,0,0,0,3369963.38,0,246913.575,123157.145,0,85470.075,0,0,5492.06,9689.75125,20554.98,0,0,0,3076.92,0,0,0,33300.86667,3974.355,0,52109.295,0,18369.65,531.14,0,0,0,0,0,0,0,0,4344.823333,0,0,0,0,8000,0,0,0,186134.8333,0,1269.84,0,0,0,0,9592.32,56980.05,345498.1222,0,17371.33,0,49929.28167,0,222939.575,0,170940.2,0,0,0,0,3322.9525,0,115107.9,0,27924.52625,790663.5308,0,0,0,0,344.82,0,0,0,56980.05,0,0,0,1222.22,814.618,0,0,0
2018,NA,NA,17.53571429,NA,NA,53.30429,7.15666,0,0,20433.995,0,4999.99,0,0,0,0,0,13966.9925,104126.0117,0,0,12800,0,0,0,0,0,71736.01,12988.318,143472,0,0,0,421947.2122,275735.25,3537463.879,16588471.44,0,0,0,543563.0986,0,800,0,3275962.252,0,0,0,827205.85,166376.4667,1600,0,0,0,0,14094.66083,800,15993.595,0,0,66011904.86,191296.0033,31924.56286,0,7400,0,0,127744.598,4999.99,0,1280,800,5674.886923,2560,0,0,249154.53,0,0,0,0,790849.1831,0,0,1600,0,0,765931.3,4999.99,0,0,4749.995,0,0,3733.333333,0,0,237719.5967,0,0,4999.99,8416666.575,0,367647,7173.6,0,0,0,0,0,800,20349.99417,0,0,0,0,0,0,0,37260.391,11449.9925,0,56301.995,1172818.3,173869.5375,0,2899.995,0,0,8000,0,0,0,0,13299.995,39999.99,0,0,0,0,7173.6,0,0,183823.5,0,123349,0,89670,0,0,0,0,836172.9,0,2649.9975,0,49722.66333,0,0,1234243.686,0,0,0,0,0,2800,0,491573,0,0,2103969.678,0,0,0,0,0,0,0,0,0,0,0,0,8074.9925,0,0,0,0
